0 None
298	root:Host-associated:Arthropoda:Digestive system:Gut:Proctodeal segment
299	root:Host-associated:Arthropoda:Digestive system:Hindgut
300	root:Host-associated:Arthropoda:Digestive system:Hindgut:P1 segment
301	root:Host-associated:Arthropoda:Digestive system:Hindgut:P3 segment
302	root:Host-associated:Arthropoda:Digestive system:Midgut
303	root:Host-associated:Arthropoda:Digestive system:Oral
304	root:Host-associated:Arthropoda:Digestive system:Oral:Saliva
305	root:Host-associated:Arthropoda:Integument
306	root:Host-associated:Arthropoda:Integument:Cuticle
307	root:Host-associated:Arthropoda:Integument:Cuticle:Thoracic segments
308	root:Host-associated:Arthropoda:Intracellular endosymbionts
309	root:Host-associated:Arthropoda:Intracellular endosymbionts:Primary
310	root:Host-associated:Arthropoda:Intracellular endosymbionts:Primary:Bacteriomes
311	root:Host-associated:Arthropoda:Intracellular endosymbionts:Secondary
312	root:Host-associated:Arthropoda:Oral cavity
313	root:Host-associated:Arthropoda:Respiratory system
314	root:Host-associated:Arthropoda:Respiratory system:Gills
315	root:Host-associated:Arthropoda:Symbiotic fungal gardens and galleries
316	root:Host-associated:Arthropoda:Symbiotic fungal gardens and galleries:Fungus gallery
317	root:Host-associated:Arthropoda:Symbiotic fungal gardens and galleries:Fungus garden
318	root:Host-associated:Arthropoda:Symbiotic fungal gardens and galleries:Fungus garden:Garden dump
319	root:Host-associated:Arthropoda:Venom gland
320	root:Host-associated:Arthropoda:Venom gland:Venom
321	root:Host-associated:Birds
322	root:Host-associated:Birds:Circulatory system
323	root:Host-associated:Birds:Circulatory system:Blood
324	root:Host-associated:Birds:Digestive system
325	root:Host-associated:Birds:Digestive system:Ceca
326	root:Host-associated:Birds:Digestive system:Ceca:Lumen
327	root:Host-associated:Birds:Digestive system:Crop
328	root:Host-associated:Birds:Digestive system:Crop:Lumen
329	root:Host-associated:Birds:Digestive system:Digestive tube
330	root:Host-associated:Birds:Digestive system:Digestive tube:Cecum
331	root:Host-associated:Birds:Digestive system:Fecal
332	root:Host-associated:Birds:Digestive system:Small intestine
333	root:Host-associated:Birds:Digestive system:Small intestine:Duodenal
334	root:Host-associated:Birds:Reproductive system
335	root:Host-associated:Birds:Respiratory system
336	root:Host-associated:Birds:Respiratory system:Lungs
337	root:Host-associated:Cnidaria
338	root:Host-associated:Echinodermata
339	root:Host-associated:Endosymbionts
340	root:Host-associated:Endosymbionts:Fungi
341	root:Host-associated:Endosymbionts:Fungi:Endosymbionts
342	root:Host-associated:Fish
343	root:Host-associated:Fish:Circulatory system
344	root:Host-associated:Fish:Circulatory system:Blood
345	root:Host-associated:Fish:Digestive system
346	root:Host-associated:Fish:Digestive system:Foregut
347	root:Host-associated:Fish:Digestive system:Foregut:Uncharacterized
348	root:Host-associated:Fish:Digestive system:Intestine
349	root:Host-associated:Fish:Excretory system
350	root:Host-associated:Fish:Excretory system:Kidneys
351	root:Host-associated:Fish:Reproductive system
352	root:Host-associated:Fish:Skin
353	root:Host-associated:Fish:Skin:Slime
354	root:Host-associated:Fungi
355	root:Host-associated:Human
356	root:Host-associated:Human:Circulatory system
357	root:Host-associated:Human:Circulatory system:Blood
358	root:Host-associated:Human:Digestive system
359	root:Host-associated:Human:Digestive system:Hindgut
360	root:Host-associated:Human:Digestive system:Hindgut:Rectum
361	root:Host-associated:Human:Digestive system:Intestine
362	root:Host-associated:Human:Digestive system:Large intestine
363	root:Host-associated:Human:Digestive system:Large intestine:Fecal
364	root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon
365	root:Host-associated:Human:Digestive system:Oral
366	root:Host-associated:Human:Digestive system:Oral:Attached Keratinized gingiva
367	root:Host-associated:Human:Digestive system:Oral:buccal mucosa
368	root:Host-associated:Human:Digestive system:Oral:hard palate
369	root:Host-associated:Human:Digestive system:Oral:Palatine tonsils
370	root:Host-associated:Human:Digestive system:Oral:Periodontal pockets
371	root:Host-associated:Human:Digestive system:Oral:Saliva
372	root:Host-associated:Human:Digestive system:Oral:Subgingival plaque
373	root:Host-associated:Human:Digestive system:Oral:Supragingival plaque
374	root:Host-associated:Human:Digestive system:Oral:Throat
375	root:Host-associated:Human:Digestive system:Oral:tongue dorsum
376	root:Host-associated:Human:Excretory system
377	root:Host-associated:Human:Excretory system:Urethra
378	root:Host-associated:Human:Excretory system:Urethra:Urine
379	root:Host-associated:Human:Fossil
380	root:Host-associated:Human:Fossil:Bone
381	root:Host-associated:Human:Lympathic system
382	root:Host-associated:Human:Lympathic system:Lymph nodes
383	root:Host-associated:Human:Milk
384	root:Host-associated:Human:Nervous system
385	root:Host-associated:Human:Nervous system:Cerebrospinal fluid
386	root:Host-associated:Human:Reproductive system
387	root:Host-associated:Human:Reproductive system:Female
388	root:Host-associated:Human:Reproductive system:Vagina
389	root:Host-associated:Human:Reproductive system:Vagina:Introitus
390	root:Host-associated:Human:Reproductive system:Vagina:Midpoint vagina
391	root:Host-associated:Human:Reproductive system:Vagina:posterior fornix
392	root:Host-associated:Human:Respiratory system
393	root:Host-associated:Human:Respiratory system:Nasopharyngeal
394	root:Host-associated:Human:Respiratory system:Nasopharyngeal:anterior nares
395	root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity
396	root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx
397	root:Host-associated:Human:Respiratory system:Pulmonary system
398	root:Host-associated:Human:Respiratory system:Pulmonary system:Lung
399	root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum
400	root:Host-associated:Human:Respiratory system:Pulmonary system:Trachea
401	root:Host-associated:Human:Respiratory system:Pulmonary system:Viriome
402	root:Host-associated:Human:Skin
403	root:Host-associated:Human:Skin:Axilla
404	root:Host-associated:Human:Skin:Medial distal leg
405	root:Host-associated:Human:Skin:Medial distal leg:Venous leg ulcers
406	root:Host-associated:Human:Skin:Naris
407	root:Host-associated:Human:Skin:retroauricular crease
408	root:Host-associated:Human:Skin:Umbilicus
409	root:Host-associated:Human:Skin:Volar forearm
410	root:Host-associated:Insecta
411	root:Host-associated:Insecta:Digestive system
412	root:Host-associated:Invertebrates
413	root:Host-associated:Invertebrates:Bryozoans
414	root:Host-associated:Invertebrates:Bryozoans:Gymnolaemates
415	root:Host-associated:Invertebrates:Cnidaria
416	root:Host-associated:Invertebrates:Cnidaria:Coral
417	root:Host-associated:Invertebrates:Echinodermata
418	root:Host-associated:Invertebrates:Echinodermata:Sea Urchin
419	root:Host-associated:Mammals
420	root:Host-associated:Mammals:Circulatory system
421	root:Host-associated:Mammals:Circulatory system:Blood
422	root:Host-associated:Mammals:Digestive system
423	root:Host-associated:Mammals:Digestive system:Fecal
424	root:Host-associated:Mammals:Digestive system:Fecal:Uncharacterized
425	root:Host-associated:Mammals:Digestive system:Foregut
426	root:Host-associated:Mammals:Digestive system:Foregut:Rumen
427	root:Host-associated:Mammals:Digestive system:Large intestine
428	root:Host-associated:Mammals:Digestive system:Large intestine:Cecum
429	root:Host-associated:Mammals:Digestive system:Large intestine:Fecal
430	root:Host-associated:Mammals:Digestive system:Midgut
431	root:Host-associated:Mammals:Digestive system:Oral cavity
432	root:Host-associated:Mammals:Digestive system:Oral cavity:Buccal mucosa
433	root:Host-associated:Mammals:Digestive system:Stomach
434	root:Host-associated:Mammals:Digestive system:Stomach:Endoperitrophic space
435	root:Host-associated:Mammals:Digestive system:Stomach:Rumen
436	root:Host-associated:Mammals:Excretory system
437	root:Host-associated:Mammals:Excretory system:Urine
438	root:Host-associated:Mammals:Gastrointestinal tract
439	root:Host-associated:Mammals:Gastrointestinal tract:Intestine
440	root:Host-associated:Mammals:Gastrointestinal tract:Intestine:Fecal
441	root:Host-associated:Mammals:Lymphatic
442	root:Host-associated:Mammals:Lymphatic:Lymph nodes
443	root:Host-associated:Mammals:Milk
444	root:Host-associated:Mammals:Nervous system
445	root:Host-associated:Mammals:Nervous system:Brain
446	root:Host-associated:Mammals:Reproductive system
447	root:Host-associated:Mammals:Respiratory system
448	root:Host-associated:Mammals:Respiratory system:Nasopharyngeal
449	root:Host-associated:Mammals:Respiratory system:Nasopharyngeal:Nasal cavity
450	root:Host-associated:Mammals:Respiratory system:Pulmonary system
451	root:Host-associated:Mammals:Respiratory system:Pulmonary system:Viriome
452	root:Host-associated:Mammals:Skin
453	root:Host-associated:Microbial
454	root:Host-associated:Microbial:Bacteria
455	root:Host-associated:Microbial:Dinoflagellates
456	root:Host-associated:Microbial:Dinoflagellates:Endosymbionts
457	root:Host-associated:Mollusca
458	root:Host-associated:Mollusca:Digestive system
459	root:Host-associated:Mollusca:Digestive system:Ceca
460	root:Host-associated:Mollusca:Digestive system:Ceca:Uncharacterized
461	root:Host-associated:Mollusca:Digestive system:Glands
462	root:Host-associated:Mollusca:Respiratory system
463	root:Host-associated:Mollusca:Respiratory system:Gills
464	root:Host-associated:Mollusca:Respiratory system:Gills:Extracellular
465	root:Host-associated:Mollusca:Respiratory system:Gills:Intracellular
466	root:Host-associated:Mollusca:Shell
467	root:Host-associated:Plants
468	root:Host-associated:Plants:Phylloplane
469	root:Host-associated:Plants:Phylloplane:Endophytes
470	root:Host-associated:Plants:Phylloplane:Epiphytes
471	root:Host-associated:Plants:Rhizome
472	root:Host-associated:Plants:Rhizome:Epiphytes
473	root:Host-associated:Plants:Rhizoplane
474	root:Host-associated:Plants:Rhizoplane:Endophytes
475	root:Host-associated:Plants:Rhizoplane:Epiphytes
476	root:Host-associated:Plants:Rhizoplane:Soil
477	root:Host-associated:Plants:Rhizosphere
478	root:Host-associated:Plants:Rhizosphere:Epiphytes
479	root:Host-associated:Plants:Rhizosphere:Soil
480	root:Host-associated:Plants:Rhizosphere:Forest soil
481	root:Host-associated:Plants:Root
482	root:Host-associated:Porifera
483	root:Host-associated:Protists
484	root:Host-associated:Protozoa
485	root:Host-associated:Reptile
486	root:Host-associated:Reptile:Oral cavity
487	root:Host-associated:Reptile:Oral cavity:Venom gland
488	root:Host-associated:Reptile:Oral cavity:Venom gland:Venom
489	root:Host-associated:Spiralia
490	root:Host-associated:Tunicates
491	root:Host-associated:Tunicates:Ascidians
492	root:Control
